original_dialect,offensive_span,mitigated_dialect
목사도 아닌게 와 저기에 찬성을 샀고 있음?,목사도 아닌게 와 저기에 찬성을 샀고 있음?,목사도 아닌게 와 저기에 찬성을 샀고 있음?
어는 언론이 어는 기자가 요래 시사적 생각을 전달하는가 기자가 기레기에서 구레기가 대고 이젠 악레기의 실체를 드러내는 현실에 기자는 어데 이고 누가 기자인가,레기에서 구레기가 대고 이젠 악레기의,어는 언론이 어는 기자가 요래 시사적 생각을 전달하는가 기자가 기레기에서 구레기가 대고 이젠 악레기의 실체를 드러내는 현실에 기자는 어데 이고 누가 기자인가
요 틀니 입장에선 503이 나와야 좌빨정권이 아임 ㅋㅋㅋ,503이 나와야 좌빨정권이 아임 ㅋㅋㅋ,요 틀니 입장에선 503이 나와야 좌빨정권이 아임 ㅋㅋㅋ
듣다보면 신지예는 마 강 고로 나왔다 뇌피셜로 씨부리고 있노 아 답답디 디질것 같노 고마 봐야제,다 뇌피셜로 씨부리고 있노 아 답답디 디질것 ,듣다보면 신지예는 마 강 고로 나왔다 뇌피셜로 씨부리고 있노 아 답답디 디질것 같노 고마 봐야제
책임져야 한사람이 오이려 큰소리치네.백년하청을 기다려라.,책임져야 한사람이 오이려 큰소리치네.,책임져야 한사람이 오이려 큰소리치네.백년하청을 기다려라.
국회의원은 하나같이 비정상적인 아들 밲에 없나? 마 너 돈주고 너 집에가 돌봐라.,하나같이 비정상적인 아들 밲에 없나?,국회의원은 하나같이 비정상적인 아들 밲에 없나? 마 너 돈주고 너 집에가 돌봐라.
당명도 고대로 정책도 그대로면서 말로만 합당 운운하니 되겄냐,말로만 합당 운운하니 되겄냐,당명도 고대로 정책도 그대로면서 말로만 합당 운운하니 되겄냐
부관참시를 캐야지 무죄는 개뿔,부관참시를 캐야지 무죄는 개뿔,부관참시를 캐야지 무죄는 개뿔
누구냐?? 대번에 더듬어만진당, 더듬어만진,누구냐?? 대번에 더듬어만진당
강 조용히 살마 좋겠음 세상사람들은 일일이 너거들의 모든 껄 고로 들어줄 수 엄따,강 조용히 살마 좋겠음 ,강 조용히 살마 좋겠음 세상사람들은 일일이 너거들의 모든 껄 고로 들어줄 수 엄따
누구든..받기전에...반드시!!!!!확실히 해놔야한다.... 어데가 어뜨게 지내게 칼 긴지 공표후 받아라!!!!!!일단 받아놓고 떠넘기려는건...무책임한 생색내기 정치일뿐,책임한 생색내기 정치일뿐,누구든..받기전에...반드시!!!!!확실히 해놔야한다.... 어데가 어뜨게 지내게 칼 긴지 공표후 받아라!!!!!!일단 받아놓고 떠넘기려는건...무책임한 생색내기 정치일뿐
애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나,애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나,애들을 정치적으로 이용할 생각뿐인 교육감은 자격없다 내려온나
